Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.1078940962975032,2.6660000000000004,0.2795,0.2771,0.2234,0.1855,0.2539,1.138,1.111,0.022968197879858487,3.179,4.712,1.1946052929701683
1.46,2.377,-1.0784447959200134,2.92,0.2527,0.3064,0.02563,0.1965,0.3027,1.213,1.0270000000000001,0.686395759717314,3.214,5.463,1.3118486402712357
1.5519999999999998,2.164,-1.2046560832521123,2.745,0.282,0.21,0.1721,0.1929,0.21,1.2209999999999999,1.058,0.5706713780918736,3.064,5.332,1.254929663917126
1.605,2.228,-1.1331363537639232,2.8339999999999996,0.2917,0.3613,0.2087,0.1294,0.2734,1.1440000000000001,1.062,0.12632508833922246,3.149,4.829,1.2220491953268071
1.534,2.114,-0.9985109806096845,2.9760000000000004,0.21,0.2502,0.2258,0.177,0.2039,1.254,1.112,0.9257950530035338,3.309,5.734,1.3590845765995607
1.796,2.262,-1.1070526877152889,2.888,0.2966,0.1477,0.1624,0.282,0.2039,1.172,1.03,0.1545936395759724,3.18,4.861,1.237795782275763
1.5659999999999998,2.323,-0.8638856074554458,2.7110000000000003,0.2417,0.05371,0.2112,-0.026860000000000002,0.2197,1.158,0.9924,0.08303886925795083,3.469,4.78,1.2084288044144647
1.425,2.1519999999999997,-1.0170219694183922,2.781,0.2991,0.2075,0.1038,0.1147,0.2698,1.271,1.115,0.8621908127208491,3.287,5.662,1.3237906316644612
1.595,2.271,-0.9867312604586884,2.7430000000000003,0.1733,0.1965,0.1685,0.058589999999999996,0.2051,1.29,1.033,0.4054770318021199,3.323,5.145,1.258623983667388
1.6280000000000001,2.211,-1.1104183220441448,2.71,0.08423,0.1892,0.2783,0.1685,0.3491,1.155,1.008,0.8189045936395759,3.176,5.613,1.305629733685388
1.5830000000000002,2.253,-1.024594646658318,2.8539999999999996,0.1489,0.1099,0.2283,0.07324,0.2173,1.135,1.112,0.7623674911660776,3.278,5.549,1.3056723460362687
1.454,2.2769999999999997,-0.9875726690409024,2.866,0.3015,0.2832,0.2124,0.1562,0.2637,1.14,1.229,0.21466431095406316,3.322,4.929,1.26150654585094
1.617,2.1830000000000003,-1.0683478929334451,2.71,0.1221,0.2563,0.01587,0.1404,0.2856,1.255,1.033,0.6095406360424034,3.226,5.376,1.2686759102220684
1.482,2.344,-1.1062112791330752,2.8939999999999997,0.2344,0.1782,0.2307,0.2051,0.2637,0.9558,1.0859999999999999,0.41607773851590124,3.181,5.157,1.2515547470987731
1.443,2.26,-1.1381848052572066,2.705,0.2808,0.09644,0.1929,0.2197,0.2344,1.133,1.083,0.847173144876325,3.143,5.645,1.2960877385442229
1.4769999999999999,2.349,-1.2601890496782353,2.9939999999999998,0.2466,0.1953,0.1794,0.09277,0.0415,1.227,1.075,0.8833922261484102,2.998,5.686,1.2989123697478697
1.527,2.206,-0.9875726690409024,2.892,0.21,0.1465,0.09521,0.1648,0.1929,1.222,1.071,0.454063604240283,3.322,5.2,1.2654214953713843
1.599,2.296,-0.8891278649218658,2.662,0.2014,0.1941,0.2271,0.1343,0.08789,1.183,1.1179999999999999,0.5989399293286221,3.439,5.364,1.3011144331719111
1.587,2.3080000000000003,-0.9522335085879149,2.866,0.2625,0.1624,0.1025,0.2246,0.2991,1.218,1.158,0.057420494699647,3.364,4.751,1.2434490704365524
1.521,2.366,-1.087700290324367,2.986,0.2173,0.271,0.177,0.1306,0.2844,1.2429999999999999,1.006,0.3268551236749119,3.203,5.056,1.2643182023821817
1.5619999999999998,2.258,-0.9951453462808282,2.654,0.1648,0.1575,0.1807,0.177,0.376,1.117,1.0859999999999999,0.6687279151943462,3.313,5.443,1.2973273263509653
1.4380000000000002,2.57,-1.1163081821196432,2.77,0.1282,0.09277,0.1599,0.06836,0.2795,1.345,1.056,0.5839222614840995,3.169,5.347,1.2779531485260325
1.406,2.239,-1.1524887511548443,2.9389999999999996,0.3625,0.19899999999999998,0.1526,0.1697,0.188,1.129,1.083,0.5848056537102474,3.126,5.348,1.2695797787539573
1.6440000000000001,2.3169999999999997,-1.0742377530089435,2.542,0.3284,0.1782,0.2771,0.155,0.2307,1.194,1.046,0.2526501766784449,3.219,4.972,1.23441517311925
1.3780000000000001,2.375,-1.1937177716833303,2.708,0.4041,0.2209,0.1196,0.1892,0.2246,1.141,1.069,0.91696113074205,3.077,5.724,1.3109745256470515
1.537,2.379,-0.9900968947875444,2.772,0.2209,0.2161,0.3027,0.1611,0.2551,1.13,1.0070000000000001,0.5167844522968199,3.319,5.271,1.2926848255363768
1.5830000000000002,2.33,-0.9951453462808282,2.8110000000000004,0.2246,0.166,0.1892,0.0,0.2222,1.1909999999999998,1.121,0.4593639575971737,3.313,5.206,1.272944186522596
1.527,2.103,-1.1524887511548443,2.8480000000000003,0.2136,0.2051,0.1904,0.1038,0.2319,1.248,1.0070000000000001,0.8295053003533572,3.126,5.625,1.2932726106570367
1.819,2.39,-1.125563676523997,2.511,0.2722,0.1355,0.1721,0.09277,0.1062,1.125,1.03,0.5848056537102474,3.158,5.348,1.2585008555133037
1.5730000000000002,2.3680000000000003,-1.01449774367175,2.8689999999999998,0.1562,0.2515,0.2393,0.1013,0.249,1.1840000000000002,0.9717,0.5918727915194347,3.29,5.356,1.2990267891319773
1.516,2.358,-1.1482817082437744,2.8160000000000003,0.1514,0.1538,0.2332,0.1489,0.1819,1.205,1.053,0.2924028268551233,3.131,5.017,1.2220943656150964
1.63,2.267,-1.1289293108528529,2.9189999999999996,0.3027,0.1392,0.1184,0.2039,0.06836,1.095,0.9729,0.29505300353356867,3.154,5.02,1.2183274066200511
1.4969999999999999,2.279,-1.1053698705508612,2.947,0.282,0.1831,0.2356,0.127,0.2698,1.195,1.101,0.458480565371025,3.182,5.205,1.2754721924871544
1.6880000000000002,2.366,-0.9640132287389106,3.043,0.2515,0.1685,0.23800000000000002,0.1562,0.3662,1.187,1.094,0.5689045936395762,3.35,5.33,1.3459493832071903
1.7409999999999999,2.273,-1.0632994414401618,3.0589999999999997,0.1575,0.2051,0.2222,0.1648,0.2576,1.251,1.016,0.614840989399294,3.232,5.382,1.3223386819970808
1.703,2.247,-0.9497092828412728,3.052,0.2759,0.07446,0.1758,0.1221,0.2356,1.2,1.079,0.657243816254417,3.367,5.43,1.3335281809580817
2.6430000000000002,2.142,-0.8689340589487295,3.1210000000000004,0.2271,0.271,0.1782,0.0708,0.2209,1.2009999999999998,1.102,0.875441696113075,3.463,5.677,1.4516791169403105
3.1510000000000002,2.3169999999999997,-0.9581233686634129,3.575,0.1599,0.08179,0.2661,0.1807,0.19899999999999998,1.107,1.051,0.05300353356890505,3.357,4.746,1.377597868921821
3.923,2.207,-0.565185560769479,4.6419999999999995,0.6702,0.3186,0.4956,0.2136,0.4333,1.167,0.9119,0.4275618374558305,3.824,5.17,1.7027554483347391
4.102,2.019,0.2400424524093109,5.681,1.2819999999999998,0.426,0.8521,0.3638,0.8264,1.251,1.205,0.4575971731448763,4.781,5.204,2.0493528303967277
4.435,2.086,0.18366807740097263,5.864,1.7069999999999999,0.7373,0.7909999999999999,0.4675,1.4669999999999999,1.4669999999999999,1.31,0.9434628975265017,4.714,5.754,2.2804950696376762
4.103,1.963,0.6573811091874501,5.877999999999999,1.8419999999999999,0.9705,0.8752,0.5347,1.912,1.81,2.312,0.20848056537102458,5.277,4.922,2.3760901196113196
4.457,1.788,0.8349183200346016,5.916,2.103,1.232,1.025,0.5664,2.081,3.182,5.317,0.34982332155477036,5.488,5.082,2.8158672601135266
4.515,1.7790000000000001,0.9628124245311284,5.952999999999999,2.219,1.401,1.147,0.4736,2.206,5.111000000000001,5.526,0.7871024734982343,5.64,5.577,3.0926796355735258
4.258,1.761,1.078926808876659,5.916,2.175,1.6019999999999999,1.058,0.5981,2.228,5.15,5.244,0.6431095406360424,5.778,5.414,3.064581167822336
4.493,1.6980000000000002,1.053684551410239,5.886,2.383,1.676,1.202,0.4077,2.456,5.004,5.393,0.008833922261484698,5.748,4.696,3.007515605262266
4.563,1.6269999999999998,1.0764025831300177,5.979,2.294,1.848,0.9766,0.6555,2.311,5.061,5.502999999999999,0.9514134275618377,5.775,5.763,3.170279715049418
4.3919999999999995,1.51,0.6556982920230222,5.972,2.551,1.915,1.1840000000000002,0.5615,2.307,5.0,5.447,0.9567137809187284,5.275,5.769,3.1068508623529816
4.409,1.44,0.810517471150396,5.972,2.4819999999999998,2.002,1.0070000000000001,0.5774,2.3819999999999997,5.1979999999999995,5.462999999999999,0.6130742049469966,5.459,5.38,3.0853565482926713
4.398,1.5390000000000001,0.7911650737594744,5.962000000000001,2.573,2.04,1.013,0.7031,2.4619999999999997,5.105,5.261,0.3445229681978805,5.436,5.076,3.050270574425525
4.441,1.538,0.753301687559845,5.959,2.616,2.136,1.195,0.6311,2.5610000000000004,5.105,5.537999999999999,0.14840989399293303,5.391,4.854,3.0619151129680553
4.419,1.4580000000000002,1.1024862491786511,5.886,2.572,2.029,1.244,0.6555,2.395,5.106,5.403,0.7455830388692585,5.806,5.53,3.1679692348605646
4.578,1.421,0.7499360532309893,5.975,2.7539999999999996,2.129,1.1440000000000001,0.7983,2.468,5.087,5.426,0.40017667844522925,5.387,5.139,3.1040294808340154
4.562,1.345,1.1176316036585028,5.9479999999999995,2.5069999999999997,2.1180000000000003,1.162,0.5127,2.346,5.125,5.321000000000001,0.31537102473498263,5.824,5.043,3.0890501877423913
4.427,1.167,0.8988653722828653,5.962999999999999,2.603,2.2030000000000003,1.113,0.6995,2.394,5.002,5.4239999999999995,0.6289752650176678,5.564,5.398,3.1060957598071814
4.57,1.3230000000000002,0.7608743647997711,5.977,2.5269999999999997,2.108,0.9351,0.6445,2.448,5.033,5.566,0.06625441696113092,5.4,4.761,3.0085520558400645
4.4430000000000005,1.284,0.7608743647997711,5.907,2.524,2.1830000000000003,1.198,0.5896,2.5,5.074,5.492000000000001,0.7323321554770318,5.4,5.515,3.114486180019772
4.421,1.348,1.1353011838849965,5.9110000000000005,2.483,2.1830000000000003,1.14,0.7788,2.3930000000000002,5.155,5.547999999999999,0.7332155477031805,5.845,5.516,3.18502262368487
4.526,1.177,1.0528431428280263,5.896,2.365,2.009,1.266,0.6970000000000001,2.468,5.144,5.309,0.0,5.747,4.686,3.0244887959162874
4.52,1.097,0.9358873499002807,6.011,2.555,2.217,1.21,0.6018,2.4219999999999997,5.088,5.385,0.7181978798586572,5.608,5.499,3.13342037355421
4.348,1.1159999999999999,0.9745921446821244,5.956,2.478,2.2569999999999997,1.217,0.6409,2.336,5.071000000000001,5.6160000000000005,0.9063604240282694,5.654,5.712,3.1630608977650283
4.705,1.207,0.9787991875931943,5.931,2.583,2.231,1.145,0.7458,2.505,5.062,5.297000000000001,0.9575971731448762,5.659,5.77,3.1983711686241483
4.615,1.224,0.9745921446821244,6.011,2.488,2.2,1.147,0.5481,2.532,5.0089999999999995,5.314,0.7367491166077738,5.654,5.52,3.1409600900921353
4.373,1.079,1.0898651204454415,5.9270000000000005,2.516,2.123,1.156,0.5579,2.469,4.988,5.38,0.9328621908127219,5.791,5.742,3.151759093661297
4.507,1.078,0.7389977416622068,5.906000000000001,2.48,2.233,1.1179999999999999,0.6995,2.399,5.063,5.414,0.5848056537102474,5.374,5.348,3.0673788139551754
4.4430000000000005,1.03,1.0747197659655892,5.9510000000000005,2.489,2.106,1.115,0.5103,2.406,5.154,5.482,0.7226148409893992,5.773,5.504,3.125759614782499
4.702,1.111,1.053684551410239,6.013,2.529,2.109,1.146,0.6116,2.471,5.01,5.409,0.9284452296819792,5.748,5.737,3.1841949843637294
4.592,1.1440000000000001,0.8088346539859689,5.876,2.294,2.189,1.169,0.5493,2.379,5.046,5.273,0.6722614840989403,5.457,5.447,3.0640282955774936
4.67,1.127,0.9358873499002807,5.925,2.362,2.292,1.1159999999999999,0.5151,2.537,5.148,5.438,0.6439929328621911,5.608,5.415,3.123784305911605
4.43,1.075,1.1554949898581324,5.874,2.458,2.037,1.117,0.6384,2.283,5.081,5.599,0.7234982332155478,5.869,5.505,3.1318138016481205
4.498,1.056,1.0822924432055154,5.89,2.432,2.1590000000000003,1.199,0.6897,2.415,5.083,5.251,0.6475265017667843,5.782,5.419,3.114537067498022
4.637,1.08,0.9830062305042642,5.931,2.399,2.061,1.104,0.5688,2.4659999999999997,5.267,5.269,0.15636042402826902,5.664,4.863,3.032083332466609
4.562,1.167,0.8180901483903221,5.985,2.483,2.109,1.2009999999999998,0.5603,2.411,5.067,5.51,0.31978798586572454,5.468,5.048,3.0506555810182894
4.5760000000000005,1.067,0.9358873499002807,5.906000000000001,2.4,2.073,1.1520000000000001,0.7031,2.262,4.939,5.452999999999999,0.1439929328621911,5.608,4.849,3.004855734483034
4.677,1.089,1.1369840010494252,5.937,2.38,2.0580000000000003,1.1440000000000001,0.6433,2.256,5.146,5.507999999999999,0.545936395759717,5.847,5.304,3.119444314057796
4.482,1.028,0.7297422472578527,5.9239999999999995,2.2680000000000002,2.114,1.1079999999999999,0.6482,2.355,5.126,5.425,0.29593639575971736,5.363,5.021,2.9919913316441122
4.55,0.9778,0.9140107267627178,5.947,2.544,2.068,1.1179999999999999,0.5579,2.354,4.973,5.3389999999999995,0.7606007067137818,5.582,5.547,3.0880222452483213
4.446000000000001,1.0659999999999998,0.7978963424171863,5.928999999999999,2.3609999999999998,2.1109999999999998,1.036,0.6812,2.423,5.024,5.287999999999999,0.7941696113074207,5.444,5.585,3.0704475681231864
4.612,1.063,1.109217517836363,5.9,2.379,2.141,1.068,0.5786,2.2880000000000003,5.132000000000001,5.269,0.7508833922261491,5.814,5.536,3.1171929221473227
4.563,0.9179999999999999,0.7844338051017625,5.891,2.34,1.954,1.068,0.6348,2.41,5.033,5.347,0.11749116607773856,5.428,4.819,2.950551783655679
4.529,0.9827,0.7625571819641989,5.895,2.39,2.097,1.097,0.5774,2.375,5.11,5.524,0.5591872791519437,5.402,5.319,3.0442746043654387
4.711,0.9631,1.0435876484236724,5.897,2.371,2.068,0.9717,0.6116,2.4219999999999997,5.029,5.354,0.9204946996466432,5.736,5.728,3.1304630248621654
4.485,1.002,1.0006758107307578,5.937,2.307,2.065,1.046,0.5359,2.33,5.005,5.399,0.20848056537102458,5.685,4.922,2.9948611697215557
4.645,0.8838,0.7415219674088496,5.803,2.3930000000000002,2.108,1.028,0.6116,2.3930000000000002,5.192,5.266,0.1696113074204949,5.377,4.878,2.963538091059239
4.595,1.084,1.0393806055126016,5.874,2.299,2.05,1.056,0.6152,2.363,5.0,5.255,1.0,5.731,5.818,3.1271129003937572
4.504,0.8521,0.9670194674421982,5.914,2.334,2.1069999999999998,1.099,0.5298,2.198,4.923,5.359,0.12279151943462922,5.645,4.825,2.9556936419197735
4.44,1.047,0.7087070327025027,5.861000000000001,2.301,2.144,0.9485,0.5859,2.336,5.132999999999999,5.5089999999999995,0.23498233215547712,5.338,4.952,2.96707781177557
4.4319999999999995,0.9375,1.1706403443379847,5.867999999999999,2.352,2.096,0.9729,0.5969,2.363,5.131,5.476,0.9363957597173151,5.887,5.746,3.1403811502896644
4.54,1.005,0.9922617249086182,5.862,2.231,2.01,1.101,0.6909,2.371,5.01,5.276,0.7084805653710246,5.675,5.488,3.068617306448546
4.656000000000001,1.0290000000000001,0.9729093275176967,5.916,2.3409999999999997,2.08,1.021,0.6812,2.311,4.998,5.292999999999999,0.875441696113075,5.652,5.677,3.107396501687912
4.636,0.9265,0.9611296073667006,5.854,2.29,2.072,1.006,0.5713,2.324,5.156000000000001,5.53,0.4929328621908127,5.638,5.244,3.0501330335398222
4.425,0.9534,0.97795777901098,5.859,2.3080000000000003,2.142,1.068,0.48100000000000004,2.349,5.162000000000001,5.4110000000000005,0.557420494699647,5.658,5.317,3.047769876693617
4.49,0.9668,0.7810681707729061,5.916,2.2880000000000003,2.025,1.024,0.5261,2.301,5.247000000000001,5.417000000000001,0.4549469964664317,5.424,5.201,3.004422511945667
4.562,1.003,0.779385353608479,5.847,2.1390000000000002,2.036,1.005,0.5811,2.3609999999999998,4.923,5.291,0.755300353356891,5.422,5.541,3.0175561219260976
4.65,0.9961,0.9594467902022727,5.813,2.096,2.155,1.023,0.5066,2.275,5.039,5.343999999999999,0.07862190812720887,5.636,4.775,2.9533406213092483
4.617,1.016,0.8155659226436801,5.864,2.2230000000000003,1.9909999999999999,0.9973,0.6628,2.394,5.132999999999999,5.461,0.7667844522968195,5.465,5.554,3.068603598210036
