NAME,MANUF,TYPE,CALORIES,PROTEIN,FAT,SODIUM,FIBER,CARBO,SUGARS,POTASS,VITAMINS,SHELF,WEIGHT,CUPS,RATING,config1,config2,config3
100%_Bran                             ,N  ,C   ,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973,2,1,0
100%_Natural_Bran                     ,Q  ,C   ,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983678999999995,1,2,1
All-Bran                              ,K  ,C   ,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505,2,1,0
All-Bran_with_Extra_Fiber             ,K  ,C   ,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912,2,1,0
Almond_Delight                        ,R  ,C   ,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843,0,3,2
Apple_Cinnamon_Cheerios               ,G  ,C   ,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541,0,0,2
Apple_Jacks                           ,K  ,C   ,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094000000004,0,4,2
Basic_4                               ,G  ,C   ,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562,3,0,2
Bran_Chex                             ,R  ,C   ,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253000000005,3,0,2
Bran_Flakes                           ,P  ,C   ,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813,2,1,0
Cap'n'Crunch                          ,Q  ,C   ,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851000000002,4,3,2
Cheerios                              ,G  ,C   ,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764998999999996,4,3,2
Cinnamon_Toast_Crunch                 ,G  ,C   ,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573,0,3,2
Clusters                              ,G  ,C   ,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208,3,0,2
Cocoa_Puffs                           ,G  ,C   ,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446,0,0,2
Corn_Chex                             ,R  ,C   ,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019,4,3,2
